"Mineral Name","Mineral Name (plain)","IMA Chemistry (HTML)","Chemistry Elements","Year First Published","IMA Status","Structural Groupname","Crystal Systems","Valence Elements","IMA Mineral Symbol"
"Caoxite","Caoxite","Ca(C<sub>2</sub>O<sub>4</sub>)·3H<sub>2</sub>O","Ca C O H","1996","Approved","Oxalate","triclinic","Ca C O H","Cao"
"Capgaronnite","Capgaronnite","AgHgClS","Ag Hg Cl S","1990","Approved"," ","orthorhombic","Ag Hg Cl S","Cga"
"Cappelenite-(Y)","Cappelenite-(Y)","BaY<sub>6</sub>B<sub>6</sub>Si<sub>3</sub>O<sub>24</sub>F<sub>2</sub>","Ba Y B Si O F","1884","Approved,Renamed"," ","hexagonal","Ba Y B Si O F","Cpp-Y"
"Capranicaite","Capranicaite","KCaNaAl<sub>4</sub>B<sub>4</sub>Si<sub>2</sub>O<sub>18</sub>","K Ca Na Al B Si O","2009","Approved","Not in a structural group","monoclinic","K Ca Na Al B Si O","Cpc"
"Caracolite","Caracolite","Na<sub>2</sub>(Pb<sub>2</sub>Na)(SO<sub>4</sub>)<sub>3</sub>Cl","Na Pb S O Cl","1886","Approved,Grandfathered","Apatite","monoclinic|hexagonal","Na Pb^2+ S^6+ O Cl","Cco"
"Carboborite","Carboborite","Ca<sub>2</sub>Mg[B(OH)<sub>4</sub>]<sub>2</sub>(CO<sub>3</sub>)<sub>2</sub>·4H<sub>2</sub>O","Ca Mg B O H C","1964","Approved"," ","monoclinic","Ca Mg B O H C","Cab"
"Carbobystrite","Carbobystrite","Na<sub>8</sub>(Al<sub>6</sub>Si<sub>6</sub>O<sub>24</sub>)(CO<sub>3</sub>)·4H<sub>2</sub>O","Na Al Si O C H","2009","Approved","Cancrinite, Cancrinite-sodalite","hexagonal","Na Al Si O C H","Cbys"
"Carbocalumite","Carbocalumite","Ca<sub>4</sub>Al<sub>2</sub>(OH)<sub>12</sub>(CO<sub>3</sub>)·6H<sub>2</sub>O","Ca Al O H C","2022","Approved,Pending publication","Hydrotalcite","hexagonal","Ca Al O H C","Cbcl"
"Carbocernaite","Carbocernaite","(Sr,Ce,La)(Ca,Na)(CO<sub>3</sub>)<sub>2</sub>","Sr Ce La Ca Na C O","1961","Approved","Carbocernaite","orthorhombic","Sr Ce^4+ La Ca Na C O","Cbc"
"Carboirite","Carboirite","Fe<sup>2+</sup>Al<sub>2</sub>GeO<sub>5</sub>(OH)<sub>2</sub>","Fe Al Ge O H","1980","Approved","Chloritoid","triclinic","Fe^2+ Al Ge O H","Cb"
"Carbokentbrooksite","Carbokentbrooksite","(Na,◻)<sub>12</sub>(Na,Ce)<sub>3</sub>Ca<sub>6</sub>Mn<sub>3</sub>Zr<sub>3</sub>NbSi<sub>25</sub>O<sub>73</sub>(OH)<sub>3</sub>(CO<sub>3</sub>)·H<sub>2</sub>O","Na Ce Ca Mn Zr Nb Si O H C","2002","Approved","Eudialyte","hexagonal","Na Ce^3+ Ca Mn^2+ Zr^4+ Nb^5+ Si O H C","Cktb"
"Carbonatecyanotrichite","Carbonatecyanotrichite","Cu<sub>4</sub>Al<sub>2</sub>(CO<sub>3</sub>)(OH)<sub>12</sub>·2H<sub>2</sub>O","Cu Al C O H","1963","Approved,Renamed","Cyanotrichite","","Cu^2+ Al C O H","Ccya"
"Cardite","Cardite","Zn<sub>5.5</sub>(AsO<sub>4</sub>)<sub>2</sub>(AsO<sub>3</sub>OH)(OH)<sub>3</sub>·3H<sub>2</sub>O","Zn As O H","2016","Approved","Not in a structural group","orthorhombic","Zn^2+ As^5+ O H","Cdi"
