"Mineral Name","Mineral Name (plain)","IMA Chemistry (HTML)","Chemistry Elements","Year First Published","IMA Status","Structural Groupname","Crystal Systems","Valence Elements","IMA Mineral Symbol"
"Alluaivite","Alluaivite","Na<sub>19</sub>(Ca,Mn<sup>2+</sup>)<sub>6</sub>(Ti,Nb)<sub>3</sub>Si<sub>26</sub>O<sub>74</sub>Cl·2H<sub>2</sub>O","Na Ca Mn Ti Nb Si O Cl H","1988","Approved","Eudialyte","hexagonal","Na Ca Mn^2+ Ti^4+ Nb^5+ Si O Cl H","Aav"
"Alluaudite","Alluaudite","◻NaMnFe<sup>3+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>3</sub>","Na Mn Fe P O","1848","Approved,Redefined","Alluaudite","monoclinic","Na Mn^2+ Fe^3+ P O","Ald"
"Almandine","Almandine","Fe<sup>2+</sup><sub>3</sub>Al<sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>","Fe Al Si O","0","Approved,Grandfathered","Garnet","cubic|unknown","Fe^2+ Al Si O","Alm"
"Almarudite","Almarudite","K(◻,Na)<sub>2</sub>(Mn,Fe,Mg)<sub>2</sub>[(Be,Al)<sub>3</sub>Si<sub>12</sub>]O<sub>30</sub>","K Na Mn Fe Mg Be Al Si O","2002","Approved","Milarite","hexagonal","K Na Mn^2+ Be Si O","Alr"
"Almeidaite","Almeidaite","PbZn<sub>2</sub>(Mn,Y)(Ti,Fe<sup>3+</sup>)<sub>18</sub>O<sub>36</sub>(OH,O)<sub>2</sub>","Pb Zn Mn Y Ti Fe O H","2013","Approved","Crichtonite","hexagonal","Pb^2+ Zn^2+ Mn^2+ Y Ti^4+ Fe^3+ O H","Amd"
"Alnaperbøeite-(Ce)","Alnaperboeite-(Ce)","(CaCe<sub>2.5</sub>Na<sub>0.5</sub>)(Al<sub>4</sub>)(Si<sub>2</sub>O<sub>7</sub>)(SiO<sub>4</sub>)<sub>3</sub>O(OH)<sub>2</sub>","Ca Ce Na Al Si O H","2012","Approved","Gatelite","monoclinic","Ca Ce^3+ Na Al Si O H","Apbø-Ce"
"Alpeite","Alpeite","Ca<sub>4</sub>Mn<sup>3+</sup><sub>2</sub>Al<sub>2</sub>(Mn<sup>3+</sup>Mg)(SiO<sub>4</sub>)<sub>2</sub>(Si<sub>3</sub>O<sub>10</sub>)(VO<sub>4</sub>)(OH)<sub>6</sub>","Ca Mn Al Mg Si O V H","2016","Approved","Ardennite","orthorhombic","Ca Mn^3+ Al Mg Si O V^5+ H","Apt"
"Alpersite","Alpersite","Mg(SO<sub>4</sub>)·7H<sub>2</sub>O","Mg S O H","2003","Approved","Melanterite","monoclinic","Mg S^6+ O H","Aps"
"Alsakharovite-Zn","Alsakharovite-Zn","NaSrKZn(Ti,Nb)<sub>4</sub>(Si<sub>4</sub>O<sub>12</sub>)<sub>2</sub>(O,OH)<sub>4</sub>·7H<sub>2</sub>O","Na Sr K Zn Ti Nb Si O H","2002","Approved","Labuntsovite","monoclinic","Na Sr K Zn^2+ Ti^4+ Nb^5+ Si O H","Ask-Zn"
"Alstonite","Alstonite","BaCa(CO<sub>3</sub>)<sub>2</sub>","Ba Ca C O","1841","Approved,Grandfathered","Alstonite","orthorhombic|triclinic, hexagonal","Ba Ca C O","Asn"
"Altaite","Altaite","PbTe","Pb Te","1845","Approved,Grandfathered","Rocksalt","cubic","Pb^2+ Te^2-","Alt"
"Alterite","Alterite","Zn<sub>2</sub>Fe<sup>3+</sup><sub>4</sub>(SO<sub>4</sub>)<sub>4</sub>(C<sub>2</sub>O<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub>·17H<sub>2</sub>O","Zn Fe S O C H","2018","Approved,Pending publication","Alterite, Oxalate","monoclinic","Zn^2+ Fe^3+ S^6+ O C H","Atr"
"Althausite","Althausite","Mg<sub>4</sub>(PO<sub>4</sub>)<sub>2</sub>(OH,O)(F,◻)","Mg P O H F","1974","Approved","Not in a structural group","orthorhombic","Mg P O H F","Ahs"
"Althupite","Althupite","AlTh(UO<sub>2</sub>)<sub>7</sub>(PO<sub>4</sub>)<sub>4</sub>O<sub>2</sub>(OH)<sub>5</sub>·15H<sub>2</sub>O","Al Th U O P H","1986","Approved","Not in a structural group","triclinic","Al Th^4+ U^6+ O P H","Ahp"
"Altisite","Altisite","Na<sub>3</sub>K<sub>6</sub>Ti<sub>2</sub>Al<sub>2</sub>Si<sub>8</sub>O<sub>26</sub>Cl<sub>3</sub>","Na K Ti Al Si O Cl","1993","Approved","Lemoynite","monoclinic","Na K Ti^4+ Al Si O Cl","Ati"
"Aluminite","Aluminite","Al<sub>2</sub>(SO<sub>4</sub>)(OH)<sub>4</sub>·7H<sub>2</sub>O","Al S O H","1805","Approved,Grandfathered","Aluminite","monoclinic","Al S^6+ O H","A"
"Aluminium","Aluminium","Al","Al","1978","Approved","Copper","cubic","Al","Al"
"Aluminoceladonite","Aluminoceladonite","K(Mg,Fe<sup>2+</sup>)Al(Si<sub>4</sub>O<sub>10</sub>)(OH)<sub>2</sub>","K Mg Fe Al Si O H","1883","Approved","Mica","monoclinic|hexagonal","K Mg Al Si O H","Acel"
"Aluminocerite-(CeCa)","Aluminocerite-(CeCa)","(Ce<sub>6</sub>Ca<sub>3</sub>)◻Al(SiO<sub>4</sub>)<sub>3</sub>(SiO<sub>3</sub>OH)<sub>4</sub>(OH)<sub>3</sub>","Ce Ca Al Si O H","2007","Approved,Redefined","Cerite","hexagonal","Ce^3+ Ca Al Si O H","Acrt-Ce"
"Aluminocopiapite","Aluminocopiapite","(Al,Mg)Fe<sup>3+</sup><sub>4</sub>(SO<sub>4</sub>)<sub>6</sub>(OH,O)<sub>2</sub>·20H<sub>2</sub>O","Al Mg Fe S O H","1947","Approved,Grandfathered","Copiapite","triclinic","Al Mg Fe^3+ S^6+ O H","Acpi"
"Aluminocoquimbite","Aluminocoquimbite","Al<sub>2</sub>Fe<sub>2</sub>(SO<sub>4</sub>)<sub>6</sub>(H<sub>2</sub>O)<sub>12</sub>·9H<sub>2</sub>O","Al Fe S O H","2009","Approved","Coquimbite","hexagonal","Al Fe^3+ S^6+ O H","Acoq"
"Aluminomagnesiohulsite","Aluminomagnesiohulsite","Mg<sub>2</sub>AlO<sub>2</sub>(BO<sub>3</sub>)","Mg Al O B","2002","Approved,Renamed","Hulsite","monoclinic","Mg Al O B","Amhul"
"Alumino-oxy-rossmanite","Alumino-oxy-rossmanite","Al<sub>3</sub>Al<sub>6</sub>(Si<sub>5</sub>AlO<sub>18</sub>)(BO<sub>3</sub>)<sub>3</sub>(OH)<sub>3</sub>O","Al Si O B H","2020","Approved","Tourmaline","hexagonal","Al Si O B H","Aorsm"
"Aluminopyracmonite","Aluminopyracmonite","(NH<sub>4</sub>)<sub>3</sub>Al(SO<sub>4</sub>)<sub>3</sub>","N H Al S O","2012","Approved","Pyracmonite","hexagonal","N^3- H Al S^6+ O","Apyr"
"Aluminosugilite","Aluminosugilite","KNa<sub>2</sub>Al<sub>2</sub>Li<sub>3</sub>Si<sub>12</sub>O<sub>30</sub>","K Na Al Li Si O","2019","Approved","Milarite","hexagonal","K Na Al Li Si O","Asug"
"Alum-(K)","Alum-(K)","KAl(SO<sub>4</sub>)<sub>2</sub>·12H<sub>2</sub>O","K Al S O H","1951","Approved,Renamed","Alum","cubic","K Al S^6+ O H","Aum-K"
"Alum-(Na)","Alum-(Na)","NaAl(SO<sub>4</sub>)<sub>2</sub>·12H<sub>2</sub>O","Na Al S O H","1951","Approved,Renamed","Alum","cubic","Na Al S^6+ O H","Aum-Na"
"Alumoåkermanite","Alumoakermanite","(Ca,Na)<sub>2</sub>(Al,Mg,Fe<sup>2+</sup>)(Si<sub>2</sub>O<sub>7</sub>)","Ca Na Al Mg Fe Si O","2008","Approved","Melilite","tetragonal","Ca Na Al Mg Fe^2+ Si O","Aåk"
"Alumoedtollite","Alumoedtollite","K<sub>2</sub>NaCu<sub>5</sub>AlO<sub>2</sub>(AsO<sub>4</sub>)<sub>4</sub>","K Na Cu Al O As","2017","Approved","Edtollite","triclinic","K Na Cu^2+ Al O As^5+","Aedt"
"Alumohydrocalcite","Alumohydrocalcite","CaAl<sub>2</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>4</sub>·4H<sub>2</sub>O","Ca Al C O H","1926","Approved","Alumohydrocalcite","triclinic","Ca Al C O H","Ahcal"
"Alumoklyuchevskite","Alumoklyuchevskite","K<sub>3</sub>Cu<sup>2+</sup><sub>3</sub>AlO<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>","K Cu Al O S","1993","Approved","Klyuchevskite","monoclinic","K Cu^2+ Al O S^6+","Akyv"
"Alumotantite","Alumotantite","AlTaO<sub>4</sub>","Al Ta O","1980","Approved","Not in a structural group","orthorhombic","Al Ta^5+ O","Atan"
"Alumovesuvianite","Alumovesuvianite","Ca<sub>19</sub>Al(Al<sub>10</sub>Mg<sub>2</sub>)Si<sub>18</sub>O<sub>69</sub>(OH)<sub>9</sub>","Ca Al Mg Si O H","2016","Approved","Vesuvianite","tetragonal","Ca Al Mg Si O H","Aves"
"Alunite","Alunite","KAl<sub>3</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>","K Al S O H","1565","Approved,Redefined","Alunite-Alunite","hexagonal","K Al S^6+ O H","Alu"
"Alunogen","Alunogen","Al<sub>2</sub>(SO<sub>4</sub>)<sub>3</sub>(H<sub>2</sub>O)<sub>12</sub>·5H<sub>2</sub>O","Al S O H","1832","Approved,Grandfathered","Not in a structural group","triclinic","Al S^6+ O H","Alg"
"Alvanite","Alvanite","Zn<sup>2+</sup>Al<sub>4</sub>(V<sup>5+</sup>O<sub>3</sub>)<sub>2</sub>(OH)<sub>12</sub>·2H<sub>2</sub>O","Zn Al V O H","1959","Approved","Chalcoalumite","monoclinic","Zn^2+ Al V^5+ O H","Alv"
"Alwilkinsite-(Y)","Alwilkinsite-(Y)","Y(UO<sub>2</sub>)<sub>3</sub>(SO<sub>4</sub>)<sub>2</sub>O(OH)<sub>3</sub>(H<sub>2</sub>O)<sub>7</sub>·7H<sub>2</sub>O","Y U O S H","2015","Approved","Not in a structural group","orthorhombic","Y U^6+ O S^6+ H","Alw-Y"
"Amakinite","Amakinite","Fe(OH)<sub>2</sub>","Fe O H","1962","Approved","Brucite","hexagonal","Fe^2+ O H","Amk"
"Amamoorite","Amamoorite","CaMn<sup>2+</sup><sub>2</sub>Mn<sup>3+</sup>(Si<sub>2</sub>O<sub>7</sub>)O(OH)","Ca Mn Si O H","2018","Approved","Ilvaite","monoclinic","Ca Mn^2+ Mn^3+ Si O H","Amo"
"Amarantite","Amarantite","Fe<sup>3+</sup><sub>2</sub>O(SO<sub>4</sub>)<sub>2</sub>·7H<sub>2</sub>O","Fe O S H","1888","Approved,Grandfathered","Amarantite","triclinic","Fe^3+ O S^6+ H","Ama"
"Amarillite","Amarillite","NaFe<sup>3+</sup>(SO<sub>4</sub>)<sub>2</sub>·6H<sub>2</sub>O","Na Fe S O H","1933","Approved,Grandfathered","Tamarugite","monoclinic","Na Fe^3+ S^6+ O H","Amr"
"Amblygonite","Amblygonite","LiAl(PO<sub>4</sub>)F","Li Al P O F","1818","Approved,Grandfathered","Titanite-Amblygonite","triclinic","Li Al P O F","Aby"
"Ambrinoite","Ambrinoite","[K,(NH<sub>4</sub>)]<sub>2</sub>(As,Sb)<sub>6</sub>(Sb,As)<sub>2</sub>S<sub>13</sub>·H<sub>2</sub>O","K N H As Sb S O","2009","Approved","Not in a structural group","triclinic","K N^3- H As^3+ Sb^3+ S^2- O","Amb"
"Ameghinite","Ameghinite","NaB<sub>3</sub>O<sub>3</sub>(OH)<sub>4</sub>","Na B O H","1966","Approved","Not in a structural group","monoclinic","Na B O H","Agh"
"Amesite","Amesite","Mg<sub>2</sub>Al(AlSiO<sub>5</sub>)(OH)<sub>4</sub>","Mg Al Si O H","1876","Approved,Grandfathered","Serpentine, Clay","triclinic|hexagonal","Mg Al Si O H","Ame"
"Amgaite","Amgaite","Tl<sup>3+</sup><sub>2</sub>Te<sup>6+</sup>O<sub>6</sub>","Tl Te O","2022","Approved","Malladrite","hexagonal","Tl^3+ Te^6+ O","Amgt"
"Amicite","Amicite","K<sub>2</sub>Na<sub>2</sub>(Al<sub>4</sub>Si<sub>4</sub>O<sub>16</sub>)·5H<sub>2</sub>O","K Na Al Si O H","1979","Approved","Gismondine","monoclinic","K Na Si Al O H","Ami"
"Aminoffite","Aminoffite","Ca<sub>3</sub>(BeOH)<sub>2</sub>Si<sub>3</sub>O<sub>10</sub>","Ca Be O H Si","1937","Approved,Grandfathered","Not in a structural group","tetragonal","Ca Be O H Si","Amf"
"Ammineite","Ammineite","CuCl<sub>2</sub>·2NH<sub>3</sub>","Cu Cl N H","2008","Approved","Not in a structural group","orthorhombic","Cu^2+ Cl N^3- H","Amm"
"Ammonioalunite","Ammonioalunite","(NH<sub>4</sub>)Al<sub>3</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>","N H Al S O","1986","Approved","Alunite-Alunite","hexagonal","N^3- H Al S^6+ O","Aalu"
"Ammonioborite","Ammonioborite","(NH<sub>4</sub>)<sub>3</sub>B<sub>15</sub>O<sub>20</sub>(OH)<sub>8</sub>·4H<sub>2</sub>O","N H B O","1933","Approved,Grandfathered","Not in a structural group","monoclinic","N^3- H B O","Abo"
"Ammoniojarosite","Ammoniojarosite","(NH<sub>4</sub>)Fe<sup>3+</sup><sub>3</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>","N H Fe S O","1927","Approved,Redefined","Alunite-Alunite","hexagonal","N^3- H Fe^3+ S^6+ O","Ajrs"
"Ammoniolasalite","Ammoniolasalite","[(NH<sub>4</sub>)<sub>2</sub>Mg<sub>2</sub>(H<sub>2</sub>O)<sub>20</sub>]·[V<sub>10</sub>O<sub>28</sub>]","N H Mg O V","2018","Approved","Pascoite","monoclinic","N^3- H Mg V^5+ O","Alas"
"Ammonioleucite","Ammonioleucite","(NH<sub>4</sub>)(AlSi<sub>2</sub>O<sub>6</sub>)","N H Al Si O","1984","Approved","Analcime","tetragonal","N^3- H Al Si O","Alct"
"Ammoniomagnesiovoltaite","Ammoniomagnesiovoltaite","(NH<sub>4</sub>)<sub>2</sub>Mg<sub>5</sub>Fe<sup>3+</sup><sub>3</sub>Al(SO<sub>4</sub>)<sub>12</sub>·18H<sub>2</sub>O","N H Mg Fe Al S O","2009","Approved","Voltaite","cubic","N^3- H Mg Fe^3+ Al S^6+ O","Amvlt"
"Ammoniomathesiusite","Ammoniomathesiusite","(NH<sub>4</sub>)<sub>5</sub>(UO<sub>2</sub>)<sub>4</sub>(SO<sub>4</sub>)<sub>4</sub>(VO<sub>5</sub>)·4H<sub>2</sub>O","N H U O S V","2017","Approved","Mathesiusite","tetragonal","N^3- H U^6+ O S^6+ V^5+","Amat"
"Ammoniotinsleyite","Ammoniotinsleyite","(NH<sub>4</sub>)Al<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)·2H<sub>2</sub>O","N H Al P O","2020","Approved","Leucophosphite","monoclinic","N^3- H Al P O","Atin"
"Ammoniovoltaite","Ammoniovoltaite","(NH<sub>4</sub>)<sub>2</sub>Fe<sup>2+</sup><sub>5</sub>Fe<sup>3+</sup><sub>3</sub>Al(SO<sub>4</sub>)<sub>12</sub>(H<sub>2</sub>O)<sub>18</sub>","N H Fe Al S O","2017","Approved","Voltaite","cubic","N^3- H Fe^2+ Fe^3+ Al S^6+ O","Avlt"
"Ammoniozippeite","Ammoniozippeite","(NH<sub>4</sub>)<sub>2</sub>[(UO<sub>2</sub>)<sub>2</sub>(SO<sub>4</sub>)O<sub>2</sub>]·H<sub>2</sub>O","N H U O S","2017","Approved","Zippeite","orthorhombic","N^3- H U^6+ O S^6+","Azip"
"Amstallite","Amstallite","CaAl[(Al,Si)<sub>4</sub>O<sub>8</sub>(OH)<sub>2</sub>](OH)<sub>2</sub>·(H<sub>2</sub>O,Cl)","Ca Al Si O H Cl","1986","Approved","Not in a structural group","monoclinic","Ca Al Si O H Cl","Ams"
"Analcime","Analcime","Na(AlSi<sub>2</sub>O<sub>6</sub>)·H<sub>2</sub>O","Na Al Si O H","1797","Approved","Analcime","tetragonal|cubic, orthorhombic, monoclinic, hexagonal","Na Al Si O H","Anl"
"Anandite","Anandite","BaFe<sup>2+</sup><sub>3</sub>(Si<sub>3</sub>Fe<sup>3+</sup>)O<sub>10</sub>S(OH)","Ba Fe Si O S H","1966","Approved","Mica, Clay","monoclinic|orthorhombic","Ba Fe^2+ Si Fe^3+ O S^2- H","Ana"
"Anapaite","Anapaite","Ca<sub>2</sub>Fe<sup>2+</sup>(PO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O","Ca Fe P O H","1902","Approved,Grandfathered","Not in a structural group","triclinic","Ca Fe^2+ P O H","Anp"
"Anastasenkoite","Anastasenkoite","CaFe<sup>2+</sup>P<sub>2</sub>O<sub>7</sub>","Ca Fe P O","2020","Approved,Pending publication","Anastasenkoite","triclinic","Ca Fe^2+ P O","Aas"
"Anatase","Anatase","TiO<sub>2</sub>","Ti O","1801","Approved","Not in a structural group","tetragonal","Ti^4+ O","Ant"
"Anatolyite","Anatolyite","Na<sub>6</sub>(Ca,Na)(Mg,Fe<sup>3+</sup>)<sub>3</sub>Al(AsO<sub>4</sub>)<sub>6</sub>","Na Ca Mg Fe Al As O","2016","Approved","Yurmarinite","hexagonal","Na Ca Mg Fe^3+ Al As^5+ O","Aly"
"Ancylite-(Ce)","Ancylite-(Ce)","CeSr(CO<sub>3</sub>)<sub>2</sub>(OH)·H<sub>2</sub>O","Ce Sr C O H","1901","Approved,Renamed","Ancylite","orthorhombic","Ce^3+ Sr C O H","Anc-Ce"
"Ancylite-(La)","Ancylite-(La)","LaSr(CO<sub>3</sub>)<sub>2</sub>(OH)·H<sub>2</sub>O","La Sr C O H","1995","Approved","Ancylite","orthorhombic","La Sr C O H","Anc-La"
"Andalusite","Andalusite","Al<sub>2</sub>SiO<sub>5</sub>","Al Si O","1798","Approved,Grandfathered","Andalusite","orthorhombic","Al Si O","And"
"Andersonite","Andersonite","Na<sub>2</sub>Ca(UO<sub>2</sub>)(CO<sub>3</sub>)<sub>3</sub>·5-6H<sub>2</sub>O","Na Ca U O C H","1951","Approved,Grandfathered","Not in a structural group","hexagonal","Na Ca U^6+ O C H","Anr"
"Andradite","Andradite","Ca<sub>3</sub>Fe<sup>3+</sup><sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>","Ca Fe Si O","1868","Approved,Grandfathered","Garnet","cubic|triclinic","Ca Fe^3+ Si O","Adr"
"Andreadiniite","Andreadiniite","CuHgAg<sub>7</sub>Pb<sub>7</sub>Sb<sub>24</sub>S<sub>48</sub>","Cu Hg Ag Pb Sb S","2014","Approved","Lillianite","monoclinic","Cu^1+ Hg^2+ Ag^1+ Pb^2+ Sb^3+ S^2-","Adi"
"Andrémeyerite","Andremeyerite","BaFe<sup>2+</sup><sub>2</sub>(Si<sub>2</sub>O<sub>7</sub>)","Ba Fe Si O","1972","Approved,Renamed","Not in a structural group","monoclinic|orthorhombic","Ba Fe^2+ Si O","Amy"
"Andreyivanovite","Andreyivanovite","FeCrP","Fe Cr P","2006","Approved","Barringerite","orthorhombic","Fe Cr P","Aiv"
"Andrianovite","Andrianovite","Na<sub>12</sub>(K,Sr,Ce)<sub>3</sub>Ca<sub>6</sub>Mn<sub>3</sub>Zr<sub>3</sub>Nb(Si<sub>25</sub>O<sub>73</sub>)(O,H<sub>2</sub>O,OH)<sub>5</sub>","Na K Sr Ce Ca Mn Zr Nb Si O H","2007","Approved","Eudialyte","hexagonal","Na K Sr Ce^3+ Ca Mn^2+ Zr^4+ Nb^5+ Si O H","Adv"
"Anduoite","Anduoite","RuAs<sub>2</sub>","Ru As","1979","Approved"," ","orthorhombic","Ru As","Adu"
"Andychristyite","Andychristyite","PbCu<sup>2+</sup>Te<sup>6+</sup>O<sub>5</sub>(H<sub>2</sub>O)","Pb Cu Te O H","2015","Approved","Not in a structural group","triclinic","Pb^2+ Cu^2+ Te^6+ O H","Acs"
"Andymcdonaldite","Andymcdonaldite","Fe<sub>2</sub>TeO<sub>6</sub>","Fe Te O","2019","Approved","Tapiolite","tetragonal","Fe^3+ Te^6+ O","Amc"
"Andyrobertsite","Andyrobertsite","KCdCu<sub>5</sub>(AsO<sub>4</sub>)<sub>4</sub>[As(OH)<sub>2</sub>O<sub>2</sub>]·2H<sub>2</sub>O","K Cd Cu As O H","1997","Approved","Andyrobertsite","monoclinic","K Cd^2+ Cu^2+ As^5+ O H","Arb"
"Angarfite","Angarfite","NaFe<sup>3+</sup><sub>5</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>4</sub>·4H<sub>2</sub>O","Na Fe P O H","2010","Approved","Not in a structural group","orthorhombic","Na Fe^3+ P O H","Agf"
"Angastonite","Angastonite","CaMgAl<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub>·7H<sub>2</sub>O","Ca Mg Al P O H","2008","Approved,Redefined"," ","amorphous|triclinic","Ca Mg Al P O H","Ags"
"Ángelaite","Angelaite","Cu<sub>2</sub>AgPbBiS<sub>4</sub>","Cu Ag Pb Bi S","2003","Approved,Renamed","Kobellite","orthorhombic","Cu^1+ Ag^1+ Pb^2+ Bi^3+ S^2-","Áge"
"Angelellite","Angelellite","Fe<sup>3+</sup><sub>4</sub>O<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>","Fe O As","1959","Approved","Not in a structural group","triclinic","Fe^3+ O As^5+","Agl"
"Anglesite","Anglesite","Pb(SO<sub>4</sub>)","Pb S O","1832","Approved,Grandfathered","Baryte","orthorhombic","Pb^2+ S^6+ O","Ang"
"Anhydrite","Anhydrite","Ca(SO<sub>4</sub>)","Ca S O","1794","Approved,Grandfathered","Not in a structural group","orthorhombic","Ca S^6+ O","Anh"
"Anhydrokainite","Anhydrokainite","KMg(SO<sub>4</sub>)Cl","K Mg S O Cl","1912","Approved,Questionable mineral species","Chlorothionite","hexagonal","K Mg S^6+ O Cl","Ahk"
"Anilite","Anilite","Cu<sub>7</sub>S<sub>4</sub>","Cu S","1968","Approved","Digenite","orthorhombic|unknown","Cu S","Ani"
"Ankerite","Ankerite","Ca(Fe<sup>2+</sup>,Mg)(CO<sub>3</sub>)<sub>2</sub>","Ca Fe Mg C O","1825","Approved,Grandfathered","Calcite-Dolomite","hexagonal","Ca Fe^2+ C O","Ank"
"Ankinovichite","Ankinovichite","NiAl<sub>4</sub>(V<sup>5+</sup>O<sub>3</sub>)<sub>2</sub>(OH)<sub>12</sub>·2H<sub>2</sub>O","Ni Al V O H","2002","Approved","Chalcoalumite","monoclinic","Ni^2+ Al V^5+ O H","Akv"
"Annabergite","Annabergite","Ni<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>·8H<sub>2</sub>O","Ni As O H","1852","Approved,Grandfathered","Vivianite","monoclinic","Ni^2+ As^5+ O H","Anb"
"Annite","Annite","KFe<sup>2+</sup><sub>3</sub>(AlSi<sub>3</sub>O<sub>10</sub>)(OH)<sub>2</sub>","K Fe Al Si O H","1868","Approved","Mica, Clay","monoclinic","K Fe^2+ Al Si O H","Ann"
"Anorpiment","Anorpiment","As<sub>2</sub>S<sub>3</sub>","As S","2011","Approved","Not in a structural group","triclinic","As^3+ S^2-","Apm"
"Anorthite","Anorthite","Ca(Al<sub>2</sub>Si<sub>2</sub>O<sub>8</sub>)","Ca Al Si O","1823","Approved,Grandfathered","Feldspar","triclinic|unknown","Ca Al Si O","An"
"Anorthominasragrite","Anorthominasragrite","V<sup>4+</sup>O(SO<sub>4</sub>)·5H<sub>2</sub>O","V O S H","2001","Approved","Minasragrite","triclinic","V^4+ O S^6+ H","Amrg"
"Anorthoroselite","Anorthoroselite","Ca<sub>2</sub>Co(AsO<sub>4</sub>)<sub>2</sub>·2H<sub>2</sub>O","Ca Co As O H","1955","Approved,Grandfathered,Renamed","Fairfieldite","triclinic","Ca Co^2+ As^5+ O H","Rsl-β"
"Ansermetite","Ansermetite","Mn<sup>2+</sup>V<sup>5+</sup><sub>2</sub>O<sub>6</sub>·4H<sub>2</sub>O","Mn V O H","2002","Approved","Not in a structural group","monoclinic","Mn^2+ V^5+ O H","Anm"
"Antarcticite","Antarcticite","CaCl<sub>2</sub>·6H<sub>2</sub>O","Ca Cl H O","1965","Approved","Not in a structural group","hexagonal","Ca Cl H O","Atc"
"Anthoinite","Anthoinite","AlWO<sub>3</sub>(OH)<sub>3</sub>","Al W O H","1947","Approved,Grandfathered","Anthoinite","triclinic","Al W^6+ O H","Atn"
"Anthonyite","Anthonyite","Cu(OH)<sub>2</sub>·3H<sub>2</sub>O","Cu O H","1963","Approved","Anthonyite","","Cu^2+ O H","Aty"
"Anthophyllite","Anthophyllite","◻Mg<sub>2</sub>Mg<sub>5</sub>Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>","Mg Si O H","1801","Approved,Redefined","Amphibole","orthorhombic","Mg Si O H","Ath"
"Antigorite","Antigorite","Mg<sub>3</sub>Si<sub>2</sub>O<sub>5</sub>(OH)<sub>4</sub>","Mg Si O H","1840","Approved,Redefined","Serpentine, Clay","monoclinic","Mg Si O H","Atg"
"Antimonselite","Antimonselite","Sb<sub>2</sub>Se<sub>3</sub>","Sb Se","1992","Approved","Stibnite","orthorhombic","Sb^3+ Se^2-","Atm"
"Antimony","Antimony","Sb","Sb","1748","Approved,Grandfathered","Arsenic","hexagonal|cubic, tetragonal, rhombohedral","Sb","Sb"
"Antipinite","Antipinite","KNa<sub>3</sub>Cu<sub>2</sub>(C<sub>2</sub>O<sub>4</sub>)<sub>4</sub>","K Na Cu C O","2014","Approved","Not in a structural group, Oxalate","triclinic","K Na Cu^2+ C O","Atp"
"Antlerite","Antlerite","Cu<sup>2+</sup><sub>3</sub>(SO<sub>4</sub>)(OH)<sub>4</sub>","Cu S O H","1889","Approved","Not in a structural group","orthorhombic","Cu^2+ S^6+ O H","Atl"
"Antofagastaite","Antofagastaite","Na<sub>2</sub>Ca(SO<sub>4</sub>)<sub>2</sub>·1.5H<sub>2</sub>O","Na Ca S O H","2018","Approved","Syngenite","monoclinic","Na Ca S^6+ O H","Atf"
"Anyuiite","Anyuiite","AuPb<sub>2</sub>","Au Pb","1987","Approved","Khatyrkite","tetragonal","Au Pb","Any"
"Anzaite-(Ce)","Anzaite-(Ce)","Ce<sub>4</sub>Fe<sup>2+</sup>Ti<sub>6</sub>O<sub>18</sub>(OH)<sub>2</sub>","Ce Fe Ti O H","2013","Approved","Not in a structural group","monoclinic","Ce^3+ Fe^2+ Ti^4+ O H","Anz-Ce"
"Apachite","Apachite","Cu<sup>2+</sup><sub>9</sub>Si<sub>10</sub>O<sub>29</sub>·11H<sub>2</sub>O","Cu Si O H","1979","Approved","Not in a structural group","monoclinic","Cu^2+ Si O H","Apa"
"Apexite","Apexite","NaMg(PO<sub>4</sub>)·9H<sub>2</sub>O","Na Mg P O H","2015","Approved","Struvite","triclinic","Na Mg P O H","Ape"
"Aphthitalite","Aphthitalite","K<sub>3</sub>Na(SO<sub>4</sub>)<sub>2</sub>","K Na S O","1813","Approved,Grandfathered","Aphthitalite","hexagonal","K Na S^6+ O","Att"
"Apjohnite","Apjohnite","Mn<sup>2+</sup>Al<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>·22H<sub>2</sub>O","Mn Al S O H","1847","Approved,Grandfathered","Halotrichite","monoclinic","Mn^2+ Al S^6+ O H","Apj"
"Aplowite","Aplowite","Co(SO<sub>4</sub>)·4H<sub>2</sub>O","Co S O H","1963","Approved","Starkeyite","monoclinic","Co^2+ S^6+ O H","Apw"
